,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,xmin,ymin,xmax,ymax,siteID,plotID,individualID,Dead,image_name,label,image_path
0,0,0.0,0.0,257.2080993652344,318.6561889648437,291.2203369140625,351.0740966796875,HEAL,HEAL_020,,0,HEAL_020_2019,Alive,HEAL_020_2019.tif
1,1,1.0,1.0,0.0,321.8671264648437,24.977725982666016,352.1592712402344,HEAL,HEAL_020,,0,HEAL_020_2019,Alive,HEAL_020_2019.tif
2,2,2.0,2.0,44.62384796142578,121.15926361083984,78.63607025146484,156.5142822265625,HEAL,HEAL_020,,0,HEAL_020_2019,Alive,HEAL_020_2019.tif
3,3,3.0,3.0,188.5049285888672,200.069076538086,208.4977264404297,219.96090698242188,HEAL,HEAL_020,NEON.PLA.D19.HEAL.02500,0,HEAL_020_2019,Alive,HEAL_020_2019.tif
4,4,4.0,0.0,154.86666870117188,120.5,186.86666870117188,152.5,SOAP,SOAP_007,,1,SOAP_007_2019,Dead,SOAP_007_2019.tif
5,5,5.0,1.0,27.866668701171875,120.5,66.86666870117188,157.5,SOAP,SOAP_007,,1,SOAP_007_2019,Dead,SOAP_007_2019.tif
6,6,6.0,2.0,40.86666870117188,91.5,76.86666870117188,125.5,SOAP,SOAP_007,,1,SOAP_007_2019,Dead,SOAP_007_2019.tif
7,7,7.0,3.0,9.866668701171877,17.5,39.86666870117188,47.5,SOAP,SOAP_007,,1,SOAP_007_2019,Dead,SOAP_007_2019.tif
8,8,8.0,4.0,61.86666870117188,18.5,85.86666870117188,39.5,SOAP,SOAP_007,,1,SOAP_007_2019,Dead,SOAP_007_2019.tif
9,9,9.0,5.0,98.86666870117188,45.5,133.86666870117188,77.5,SOAP,SOAP_007,,1,SOAP_007_2019,Dead,SOAP_007_2019.tif
10,10,10.0,6.0,162.86666870117188,0.0,186.86666870117188,23.0,SOAP,SOAP_007,,1,SOAP_007_2019,Dead,SOAP_007_2019.tif
11,11,11.0,7.0,258.8666687011719,155.5,293.8666687011719,189.5,SOAP,SOAP_007,,1,SOAP_007_2019,Dead,SOAP_007_2019.tif
12,12,12.0,8.0,7.866668701171875,350.5,31.866668701171875,372.5,SOAP,SOAP_007,,1,SOAP_007_2019,Dead,SOAP_007_2019.tif
13,13,13.0,9.0,332.8666687011719,281.5,360.8666687011719,310.5,SOAP,SOAP_007,,1,SOAP_007_2019,Dead,SOAP_007_2019.tif
14,14,14.0,10.0,370.8666687011719,15.5,395.8666687011719,40.5,SOAP,SOAP_007,,1,SOAP_007_2019,Dead,SOAP_007_2019.tif
15,15,15.0,11.0,335.8666687011719,27.5,361.8666687011719,48.5,SOAP,SOAP_007,,1,SOAP_007_2019,Dead,SOAP_007_2019.tif
16,16,16.0,12.0,318.8666687011719,22.5,336.8666687011719,41.5,SOAP,SOAP_007,,1,SOAP_007_2019,Dead,SOAP_007_2019.tif
17,17,17.0,13.0,76.80103302001953,181.32264709472656,95.4546127319336,196.62814331054688,SOAP,SOAP_007,NEON.PLA.D17.SOAP.04555,0,SOAP_007_2019,Alive,SOAP_007_2019.tif
18,18,18.0,14.0,182.98294067382807,208.1072692871093,198.28843688964844,223.8910675048828,SOAP,SOAP_007,,0,SOAP_007_2019,Alive,SOAP_007_2019.tif
19,19,19.0,15.0,172.3719482421875,296.07049560546875,197.24337768554688,316.6372375488281,SOAP,SOAP_007,,1,SOAP_007_2019,Dead,SOAP_007_2019.tif
20,20,20.0,16.0,131.71670532226562,297.50537109375,153.71835327148438,318.5504150390625,SOAP,SOAP_007,,0,SOAP_007_2019,Alive,SOAP_007_2019.tif
21,21,21.0,17.0,109.71505737304688,165.0171356201172,132.19501495361328,183.19241333007807,SOAP,SOAP_007,,0,SOAP_007_2019,Alive,SOAP_007_2019.tif
22,22,22.0,18.0,72.88619232177734,215.23831176757807,95.8444366455078,233.8918914794922,SOAP,SOAP_007,,0,SOAP_007_2019,Alive,SOAP_007_2019.tif
23,23,23.0,19.0,119.75928497314452,218.10809326171875,149.4136962890625,247.28419494628903,SOAP,SOAP_007,NEON.PLA.D17.SOAP.04517,0,SOAP_007_2019,Alive,SOAP_007_2019.tif
24,24,24.0,20.0,202.98294067382807,205.194076538086,234.0722503662109,235.3267822265625,SOAP,SOAP_007,,0,SOAP_007_2019,Alive,SOAP_007_2019.tif
25,25,25.0,21.0,102.0623016357422,191.323471069336,135.5430908203125,220.02127075195312,SOAP,SOAP_007,,0,SOAP_007_2019,Alive,SOAP_007_2019.tif
26,26,26.0,22.0,152.7617645263672,189.8885803222656,176.67660522460938,215.23831176757807,SOAP,SOAP_007,,0,SOAP_007_2019,Alive,SOAP_007_2019.tif
27,27,27.0,23.0,195.3302001953125,235.8050842285156,228.33267211914065,267.3726806640625,SOAP,SOAP_007,NEON.PLA.D17.SOAP.04519,0,SOAP_007_2019,Alive,SOAP_007_2019.tif
28,28,28.0,24.0,170.9370574951172,255.41525268554688,191.0255279541016,274.0688171386719,SOAP,SOAP_007,,0,SOAP_007_2019,Alive,SOAP_007_2019.tif
29,29,29.0,25.0,149.89198303222656,216.67320251464844,169.98045349121094,236.2833709716797,SOAP,SOAP_007,,0,SOAP_007_2019,Alive,SOAP_007_2019.tif
30,30,30.0,26.0,169.0238800048828,227.6740264892578,193.8953094482422,251.110580444336,SOAP,SOAP_007,,0,SOAP_007_2019,Alive,SOAP_007_2019.tif
31,31,31.0,27.0,240.7688751220703,152.1399383544922,260.43218994140625,170.74037170410156,SOAP,SOAP_007,,0,SOAP_007_2019,Alive,SOAP_007_2019.tif
32,32,32.0,28.0,380.1565551757813,134.6248321533203,400.7233276367188,153.75669860839844,SOAP,SOAP_007,,0,SOAP_007_2019,Alive,SOAP_007_2019.tif
33,33,33.0,29.0,365.8076477050781,153.27841186523438,397.8535461425781,186.7591857910156,SOAP,SOAP_007,,0,SOAP_007_2019,Alive,SOAP_007_2019.tif
34,34,34.0,30.0,372.0255432128906,187.7157745361328,400.24505615234375,214.97869873046875,SOAP,SOAP_007,,0,SOAP_007_2019,Alive,SOAP_007_2019.tif
35,35,35.0,31.0,335.1966552734375,158.5396728515625,367.2425537109375,189.15066528320312,SOAP,SOAP_007,,0,SOAP_007_2019,Alive,SOAP_007_2019.tif
36,36,36.0,32.0,352.8936462402344,137.972900390625,375.3735961914063,161.40945434570312,SOAP,SOAP_007,,0,SOAP_007_2019,Alive,SOAP_007_2019.tif
